seeds,directions,source,id,year,journal,title,passes_stage1,screen_rule,verdict,verdict_reason,abstract
[3] Venet 2011,前向き,MED,29258445,2017,BMC bioinformatics,A biological network-based regularized artificial neural network model for robust phenotype prediction from gene expression data.,True,測定性質+セット,除外 E2,表現型予測のための正則化ニューラルネットの提案,"<h4>Background</h4>Stratification of patient subpopulations that respond favorably to treatment or experience and adverse reaction is an essential step toward development of new personalized therapies and diagnostics. It is currently feasible to generate omic-scale biological measurements for all patients in a study, providing an opportunity for machine learning models to identify molecular markers for disease diagnosis and progression. However, the high variability of genetic background in human populations hampers the reproducibility of omic-scale markers. In this paper, we develop a biological network-based regularized artificial neural network model for prediction of phenotype from transcriptomic measurements in clinical trials. To improve model sparsity and the overall reproducibility of the model, we incorporate regularization for simultaneous shrinkage of gene sets based on active upstream regulatory mechanisms into the model.<h4>Results</h4>We benchmark our method against various regression, support vector machines and artificial neural network models and demonstrate the ability of our method in predicting the clinical outcomes using clinical trial data on acute rejection in kidney transplantation and response to Infliximab in ulcerative colitis. We show that integration of prior biological knowledge into the classification as developed in this paper, significantly improves the robustness and generalizability of predictions to independent datasets. We provide a Java code of our algorithm along with a parsed version of the STRING DB database.<h4>Conclusion</h4>In summary, we present a method for prediction of clinical phenotypes using baseline genome-wide expression data that makes use of prior biological knowledge on gene-regulatory interactions in order to increase robustness and reproducibility of omic-scale markers. The integrated group-wise regularization methods increases the interpretability of biological signatures and gives stable performance estimates across independent test sets."
[3] Venet 2011,前向き,MED,29322932,2017,BMC medical genomics,Identification of prognostic signature in cancer based on DNA methylation interaction network.,True,測定性質+セット,除外 E1,DNA メチル化網からの予後シグネチャ。転帰予測であり発現でもない,"<h4>Background</h4>The identification of prognostic biomarkers for cancer patients is essential for cancer research. These days, DNA methylation has been proved to be associated with cancer prognosis. However, there are few methods which identify the prognostic markers based on DNA methylation data systematically, especially considering the interaction among DNA methylation sites.<h4>Methods</h4>In this paper, we first evaluated the stabilities of microRNA, mRNA, and DNA methylation data in prognosis of cancer. After that, a rank-based method was applied to construct a DNA methylation interaction network. In this network, nodes with the largest degrees (10% of all the nodes) were selected as hubs. Cox regression was applied to select the hubs as prognostic signature. In this prognostic signature, DNA methylation levels of each DNA methylation site are correlated with the outcomes of cancer patients. After obtaining these prognostic genes, we performed the survival analysis in the training group and the test group to verify the reliability of these genes.<h4>Results</h4>We applied our method in three cancers (ovarian cancer, breast cancer and Glioblastoma Multiforme). In all the three cancers, there are more common ones of prognostic genes selected from different samples in DNA methylation data, compared with gene expression data and miRNA expression data, which indicates the DNA methylation data may be more stable in cancer prognosis. Power-law distribution fitting suggests that the DNA methylation interaction networks are scale-free. And the hubs selected from the three networks are all enriched by cancer related pathways. The gene signatures were obtained for the three cancers respectively, and survival analysis shows they can distinguish the outcomes of tumor patients in both the training data sets and test data sets, which outperformed the control signatures.<h4>Conclusions</h4>A computational method was proposed to construct DNA methylation interaction network and this network could be used to select prognostic signatures in cancer."
[3] Venet 2011,前向き,MED,30090857,2017,"Computational psychiatry (Cambridge, Mass.)",Can Peripheral Blood-Derived Gene Expressions Characterize Individuals at Ultra-high Risk for Psychosis?,True,測定性質+セット,除外 E1,精神病超高リスクの分類。正規化手法の比較で、判定対象は群分類の性能,"The ultra-high risk (UHR) state was originally conceived to identify individuals at imminent risk of developing psychosis. Although recent studies have suggested that most individuals designated UHR do not, they constitute a distinctive group, exhibiting cognitive and functional impairments alongside multiple psychiatric morbidities. UHR characterization using molecular markers may improve understanding, provide novel insight into pathophysiology, and perhaps improve psychosis prediction reliability. Whole-blood gene expressions from 56 UHR subjects and 28 healthy controls are checked for existence of a consistent gene expression profile (signature) underlying UHR, across a variety of normalization and heterogeneity-removal techniques, including simple log-conversion, quantile normalization, gene fuzzy scoring (GFS), and surrogate variable analysis. During functional analysis, consistent and reproducible identification of important genes depends largely on how data are normalized. Normalization techniques that address sample heterogeneity are superior. The best performer, the unsupervised GFS, produced a strong and concise 12-gene signature, enriched for psychosis-associated genes. Importantly, when applied on random subsets of data, classifiers built with GFS are ""meaningful"" in the sense that the classifier models built using genes selected after other forms of normalization do not outperform random ones, but GFS-derived classifiers do. Data normalization can present highly disparate interpretations on biological data. Comparative analysis has shown that GFS is efficient at preserving signals while eliminating noise. Using this, we demonstrate confidently that the UHR designation is well correlated with a distinct blood-based gene signature."
[3] Venet 2011,前向き,MED,26763444,2016,The Journal of investigative dermatology,"Identification, Review, and Systematic Cross-Validation of microRNA Prognostic Signatures in Metastatic Melanoma.",True,測定性質+セット,除外 E1,転移性黒色腫の miRNA 予後シグネチャの交差検証,"In metastatic melanoma, it is vital to identify and validate biomarkers of prognosis. Previous studies have systematically evaluated protein biomarkers or mRNA-based expression signatures. No such analyses have been applied to microRNA (miRNA)-based prognostic signatures. As a first step, we identified two prognostic miRNA signatures from publicly available data sets (Gene Expression Omnibus/The Cancer Genome Atlas) of global miRNA expression profiling information. A 12-miRNA signature predicted longer survival after surgery for resection of American Joint Committee on Cancer stage III disease (>4 years, no sign of relapse) and outperformed American Joint Committee on Cancer standard-of-care prognostic markers in leave-one-out cross-validation analysis (error rates 34% and 38%, respectively). A similar 15-miRNA biomarker derived from The Cancer Genome Atlas miRNA-seq data performed slightly worse (39%) than these current biomarkers. Both signatures were then assessed for replication in two independent data sets and subjected to systematic cross-validation together with the three other miRNA-based prognostic signatures proposed in the literature to date. Five miRNAs (miR-142-5p, miR-150-5p, miR-342-3p, miR-155-5p, and miR-146b-5p) were reproducibly associated with patient outcome and have the greatest potential for application in the clinic. Our extensive validation approach highlighted among multiple independent cohorts the translational potential and limitations of miRNA signatures, and pointed to future directions in the analysis of this emerging class of markers."
[3] Venet 2011,前向き,MED,26247463,2015,PloS one,Prognostic Fifteen-Gene Signature for Early Stage Pancreatic Ductal Adenocarcinoma.,True,測定性質+セット,除外 E1,膵管癌の 15 遺伝子予後シグネチャ,"The outcomes of patients treated with surgery for early stage pancreatic ductal adenocarcinoma (PDAC) are variable with median survival ranging from 6 months to more than 5 years. This challenge underscores an unmet need for developing personalized medicine strategies to refine the current treatment decision-making process. To derive a prognostic gene signature for patients with early stage PDAC, a PDAC cohort from Moffitt Cancer Center (n = 63) was used with overall survival (OS) as the primary endpoint. This was further evaluated using an independent microarray cohort dataset (Stratford et al: n = 102). Technical validation was performed by NanoString platform. A prognostic 15-gene signature was developed and showed a statistically significant association with OS in the Moffitt cohort (hazard ratio [HR] = 3.26; p<0.001) and Stratford et al cohort (HR = 2.07; p = 0.02), and was independent of other prognostic variables. Moreover, integration of the signature with the TNM staging system improved risk prediction (p<0.01 in both cohorts). In addition, NanoString validation showed that the signature was robust with a high degree of reproducibility and the association with OS remained significant in the two cohorts. The gene signature could be a potential prognostic tool to allow risk-adapted stratification of PDAC patients into personalized treatment protocols; possibly improving the currently poor clinical outcomes of these patients."
[3] Venet 2011,前向き,MED,26737284,2015,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,Extracting reliable gene expression signatures through Stable Bootstrap Validation.,True,測定性質+セット,除外 E3,特徴選択の安定性。訓練データの変動に対する頑健性であり、同一個人の再測定ではない,"Identification of candidate genes responsible for specific phenotypes, such as cancer, has been a major challenge in the field of bioinformatics. Given a DNA Microarray dataset, traditional feature selection methods produce lists of candidate genes which vary significantly under variations of the training data. That instability hinders the validity of research findings and raises doubts about the reliability of such methods. In this study, we propose a framework for the extraction of stable genomic signatures. The proposed methodology enforces stability at the validation step, independent of the feature selection and classification methods used. The statistical significance of the selected gene set is also assessed. The results of this study demonstrate the importance of stability issues in genomic signatures, beyond their prediction capabilities."
[3] Venet 2011,前向き,MED,24558298,2014,Cancer informatics,Evaluating gene set enrichment analysis via a hybrid data model.,True,測定性質+セット,除外 E2,GSA 手法 7 種の順位性能の比較。変数は手法,"Gene set enrichment analysis (GSA) methods have been widely adopted by biological labs to analyze data and generate hypotheses for validation. Most of the existing comparison studies focus on whether the existing GSA methods can produce accurate P-values; however, practitioners are often more concerned with the correct gene-set ranking generated by the methods. The ranking performance is closely related to two critical goals associated with GSA methods: the ability to reveal biological themes and ensuring reproducibility, especially for small-sample studies. We have conducted a comprehensive simulation study focusing on the ranking performance of seven representative GSA methods. We overcome the limitation on the availability of real data sets by creating hybrid data models from existing large data sets. To build the data model, we pick a master gene from the data set to form the ground truth and artificially generate the phenotype labels. Multiple hybrid data models can be constructed from one data set and multiple data sets of smaller sizes can be generated by resampling the original data set. This approach enables us to generate a large batch of data sets to check the ranking performance of GSA methods. Our simulation study reveals that for the proposed data model, the Q2 type GSA methods have in general better performance than other GSA methods and the global test has the most robust results. The properties of a data set play a critical role in the performance. For the data sets with highly connected genes, all GSA methods suffer significantly in performance."
[3] Venet 2011,前向き,MED,25654473,2014,JMIR serious games,The cure: design and evaluation of a crowdsourcing game for gene selection for breast cancer survival prediction.,True,測定性質+セット,除外 E1,クラウドソーシングで遺伝子を選び生存予測に使う,"<h4>Background</h4>Molecular signatures for predicting breast cancer prognosis could greatly improve care through personalization of treatment. Computational analyses of genome-wide expression datasets have identified such signatures, but these signatures leave much to be desired in terms of accuracy, reproducibility, and biological interpretability. Methods that take advantage of structured prior knowledge (eg, protein interaction networks) show promise in helping to define better signatures, but most knowledge remains unstructured. Crowdsourcing via scientific discovery games is an emerging methodology that has the potential to tap into human intelligence at scales and in modes unheard of before.<h4>Objective</h4>The main objective of this study was to test the hypothesis that knowledge linking expression patterns of specific genes to breast cancer outcomes could be captured from players of an open, Web-based game. We envisioned capturing knowledge both from the player's prior experience and from their ability to interpret text related to candidate genes presented to them in the context of the game.<h4>Methods</h4>We developed and evaluated an online game called The Cure that captured information from players regarding genes for use as predictors of breast cancer survival. Information gathered from game play was aggregated using a voting approach, and used to create rankings of genes. The top genes from these rankings were evaluated using annotation enrichment analysis, comparison to prior predictor gene sets, and by using them to train and test machine learning systems for predicting 10 year survival.<h4>Results</h4>Between its launch in September 2012 and September 2013, The Cure attracted more than 1000 registered players, who collectively played nearly 10,000 games. Gene sets assembled through aggregation of the collected data showed significant enrichment for genes known to be related to key concepts such as cancer, disease progression, and recurrence. In terms of the predictive accuracy of models trained using this information, these gene sets provided comparable performance to gene sets generated using other methods, including those used in commercial tests. The Cure is available on the Internet.<h4>Conclusions</h4>The principal contribution of this work is to show that crowdsourcing games can be developed as a means to address problems involving domain knowledge. While most prior work on scientific discovery games and crowdsourcing in general takes as a premise that contributors have little or no expertise, here we demonstrated a crowdsourcing system that succeeded in capturing expert knowledge."
[3] Venet 2011,前向き,MED,24369726,2013,BMC bioinformatics,Identification of reproducible gene expression signatures in lung adenocarcinoma.,True,測定性質+セット,除外 E1,肺腺癌の予後シグネチャ。再現性は独立データ間の予測性能を指す,"<h4>Background</h4>Lung cancer is the leading cause of cancer-related death worldwide. Tremendous research efforts have been devoted to improving treatment procedures, but the average five-year overall survival rates are still less than 20%. Many biomarkers have been identified for predicting survival; challenges arise, however, in translating the findings into clinical practice due to their inconsistency and irreproducibility. In this study, we proposed an approach by identifying predictive genes through pathways.<h4>Results</h4>The microarrays from Shedden et al. were used as the training set, and the log-rank test was performed to select potential signature genes. We focused on 24 cancer-related pathways from 4 biological databases. A scoring scheme was developed by the Cox hazard regression model, and patients were divided into two groups based on the medians. Subsequently, their predictability and generalizability were evaluated by the 2-fold cross-validation and a resampling test in 4 independent datasets, respectively. A set of 16 genes related to apoptosis execution was demonstrated to have good predictability as well as generalizability in more than 700 lung adenocarcinoma patients and was reproducible in 4 independent datasets. This signature set was shown to have superior performances compared to 6 other published signatures. Furthermore, the corresponding risk scores derived from the set were found to associate with the efficacy of the anti-cancer drug ZD-6474 targeting EGFR.<h4>Conclusions</h4>In summary, we presented a new approach to identify reproducible survival predictors for lung adenocarcinoma, and the identified genes may serve as both prognostic and predictive biomarkers in the future."
[3] Venet 2011,後ろ向き,MED,17401012,2007,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,Definition of clinically distinct molecular subtypes in estrogen receptor-positive breast carcinomas through genomic grade.,True,測定性質+セット,除外 E1,ER 陽性乳癌の分子サブタイプの定義,"<h4>Purpose</h4>A number of microarray studies have reported distinct molecular profiles of breast cancers (BC), such as basal-like, ErbB2-like, and two to three luminal-like subtypes. These were associated with different clinical outcomes. However, although the basal and the ErbB2 subtypes are repeatedly recognized, identification of estrogen receptor (ER) -positive subtypes has been inconsistent. Therefore, refinement of their molecular definition is needed.<h4>Materials and methods</h4>We have previously reported a gene expression grade index (GGI), which defines histologic grade based on gene expression profiles. Using this algorithm, we assigned ER-positive BC to either high-or low-genomic grade subgroups and compared these with previously reported ER-positive molecular classifications. As further validation, we classified 666 ER-positive samples into subtypes and assessed their clinical outcome.<h4>Results</h4>Two ER-positive molecular subgroups (high and low genomic grade) could be defined using the GGI. Despite tracking a single biologic pathway, these were highly comparable to the previously described luminal A and B classification and significantly correlated to the risk groups produced using the 21-gene recurrence score. The two subtypes were associated with statistically distinct clinical outcome in both systemically untreated and tamoxifen-treated populations.<h4>Conclusion</h4>The use of genomic grade can identify two clinically distinct ER-positive molecular subtypes in a simple and highly reproducible manner across multiple data sets. This study emphasizes the important role of proliferation-related genes in predicting prognosis in ER-positive BC."
